Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery_Cell,
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C16, C19, C21, C25, C5",0603,6,10uF,
"C13, C18",C_Radial_D6.3mm_H5.0mm_P2.50mm,2,100uF,
"C14, C15, C3, C4",0603,4,1uF,
"C17, C20, C26, C6",0603,4,0.1uF,
"C2, C8",CP_Radial_D8.0mm_P3.50mm,2,C,
C22,0603,1,100 nF,
"C23, C24",0603,2,22uF,
CR1,D_SMA,1,SSA210,
"D1, D11, D12, D13, D2",0603,5,LED,
"D3, D4",D_SMA,2,SMAJ5.0A,
"F3, F4",1206,2,Polyfuse,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L2,L_APV_ANR5020,1,3.9uH,
"P3, P4",USB_C_Receptacle_GCT_USB4085,2,USB_C_Plug_USB2.0,
Q1,SOT-23,1,DMG3415U,
"Q3, Q4",SOT-23,2,MMBT2222A,
"R10, R16, R8, R9",0603,4,10K,
R15,0603,1,1K,
"R17, R18, R19",0603,3,470,
"R2, R22, R23",0603,3,100K,
"R20, R21",0603,2,R,
"R4, R5, R6",0603,3,5.1k,
"SW1, SW4, SW5",SW_Push_1P1T_NO_CK_KSC7xxJ,3,SW_Push,
"SW3, SW6",SW_Push_1P1T_NO_CK_PTS125Sx85SMTR,2,SW_Push,
SW8,mts101sw,1,SW_SPST,
"U1, U2",XDCR_COM-09032,2,COM-09032,
U10,TSOT-23-6,1,AP63203WU,
U11,TQFP-32_7x7mm_P0.8mm,1,ATSAMD21E16A-A,
"U12, U7",nRF24L01_Breakout,2,NRF24L01_Breakout,
U4,Waveshare_2inch_foot,1,ST7789_2IN_WS,
U6,ESP32-WROOM-32D,1,ESP32-WROOM-32D,
U8,MSOP-10_3x3mm_P0.5mm,1,MCP73833-xxx-UN,
U9,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
